"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"NICKOLNA","Oi",5,0,NA,NA,NA,NA,NA,NA
"NIKISHKA","Oe",8,0,NA,NA,NA,"5YR","2","2"
"NIKISHKA","Oi",9,8,NA,NA,NA,NA,NA,NA
"NIZINA","Oi",3,0,NA,NA,NA,"7.5YR","3","2"
"OGTNA","Oa",5,0,NA,NA,NA,"10YR","2","1"
"OGTNA","Oi",15,5,NA,NA,NA,"2.5YR","3","1"
"PARTOFSHIKOF","Oa",8,0,NA,NA,NA,NA,NA,NA
"PARTOFSHIKOF","Oi",30,8,NA,NA,NA,NA,NA,NA
"PARTOV","O2",3,0,NA,NA,NA,"10YR","2","1"
"PERIL","Oa",5,0,NA,NA,NA,NA,NA,NA
"PERIL","Oi",8,5,NA,NA,NA,NA,NA,NA
"PERIL","Cl",25,36,NA,NA,NA,"2.5Y","4","3"
"PETREL","Oi2",8,0,NA,NA,NA,"N","2","0"
"PETREL","Oi1",18,8,NA,NA,NA,NA,NA,NA
"PETROF","Oe",3,0,NA,NA,NA,"10YR","2","2"
"PINCHER","Oe",5,0,NA,NA,NA,"10YR","2","2"
"PIPPIN","Oi",3,0,NA,NA,NA,"7.5YR","3","2"
"PIPPOD","Oi",5,0,NA,NA,NA,"7.5YR","3","2"
"PSUYAAH","Oi",5,0,NA,NA,NA,"7.5YR","2","0"
"PURCHES","O2",5,0,NA,NA,NA,"10YR","2","1"
"PURCHES","O1",8,5,NA,NA,NA,NA,NA,NA
"PUSTOI","O1",8,0,NA,NA,NA,"5YR","2","2"
"QENI","Oi",15,0,NA,NA,NA,"10YR","2","2"
"REMEDIOS","Oe",3,0,NA,NA,NA,"10YR","2","1"
"REMEDIOS","Oi",5,3,NA,NA,NA,NA,NA,NA
"REMEDIOS","R",66,0,NA,NA,NA,NA,NA,NA
"SARKAR","Oe",11,0,NA,NA,NA,"5YR","2.5","1"
"SARKAR","Oi",13,11,NA,NA,NA,NA,NA,NA
"SCHROCK","Oi",8,0,NA,NA,NA,"5YR","2","2"
"SELDOVIA","Oe",5,0,NA,NA,NA,"10YR","2","2"
"SINONA","Oi",5,0,NA,NA,NA,"5YR","3","3"
"SITKA","Oa",5,0,NA,NA,NA,NA,NA,NA
"SITKA","Oi",8,5,NA,NA,NA,NA,NA,NA
"SKAGWAY","Oe",5,0,NA,NA,NA,NA,NA,NA
"SKAGWAY","Oi",10,5,NA,NA,NA,NA,NA,NA
"SLODUC","Oa",18,0,NA,NA,NA,"5YR","2.5","2"
"SLODUC","Oi",25,18,NA,NA,NA,"5YR","3","2"
"SNETTISHAM","Oa",8,0,NA,NA,NA,NA,NA,NA
"SNETTISHAM","Oi",15,8,NA,NA,NA,NA,NA,NA
"SOAKPAK","O2",3,0,NA,NA,NA,"5YR","2","1"
"SPASSKI","Oa",33,0,NA,NA,NA,NA,NA,NA
"SPASSKI","Oi",36,33,NA,NA,NA,NA,NA,NA
"ST. NICHOLAS","Oa",10,0,NA,NA,NA,"5R","2","1"
"ST. NICHOLAS","Oi",18,10,NA,NA,NA,NA,NA,NA
"STAINKY","Oi",5,0,NA,NA,NA,NA,NA,NA
"STAVE","O1",4,0,NA,NA,NA,"5YR","2","2"
"STRANDLINE","Oe",5,0,NA,NA,NA,NA,NA,NA
"STUCK","Oi",8,0,NA,NA,NA,"5YR","3","2"
"SUKOI","Oe",10,0,NA,NA,NA,"5YR","2.5","2"
"SUNTRANA","Oe",10,0,NA,NA,NA,"10YR","2","2"
"SWEDNA","Oi/C",3,0,NA,NA,NA,"5YR","3","3"
"TAKOTNA","O1",5,0,NA,NA,NA,"5YR","2","1"
"TALUWIK","Oe",3,0,NA,NA,NA,NA,NA,NA
"TANGOE","Oe",3,0,NA,NA,NA,"10YR","2","1"
"TARAL","Oi",5,0,NA,NA,NA,"10YR","2","1"
"TAWAH","O1",8,0,NA,NA,NA,"5YR","3","3"
"TEBAY","Oi",10,0,NA,NA,NA,"5YR","3","2"
"TEKLANIKA","Oe",5,0,NA,NA,NA,"5YR","4","3"
"TELAY","Oe",5,0,NA,NA,NA,"10YR","3","4"
"TOKEEN","Oe",28,0,NA,NA,NA,"10R","2.5","2"
"TOKEEN","Oi",30,28,NA,NA,NA,NA,NA,NA
"TOKLAT","Oe",5,0,NA,NA,NA,"7.5YR","3","2"
"TOLSONA","Oe",10,0,NA,NA,NA,"10YR","2","2"
"TOLSONA","Oi",20,10,NA,NA,NA,"5YR","2.5","2"
"TOLSTOI","Oe",5,0,NA,NA,NA,"5YR","2.5","2"
"TOLSTOI","Oi",10,5,NA,NA,NA,NA,NA,NA
"TONOWEK","Oi",3,0,NA,NA,NA,NA,NA,NA
"TONSINA","Oi",5,0,NA,NA,NA,NA,NA,NA
"TORPEDO LAKE","Oe",13,0,NA,NA,NA,"5YR","2","1"
"TRAITORS","Oi",15,5,NA,NA,NA,NA,NA,NA
"TSADAKA","Oe",8,0,NA,NA,NA,"2.5YR","3","4"
"TSADAKA","Oi",20,8,NA,NA,NA,"5YR","3","4"
"TSANA","Oi",5,0,NA,NA,NA,NA,NA,NA
"TSIRKU","Oi",3,0,NA,NA,NA,NA,NA,NA
"TULIK","O2",5,0,NA,NA,NA,"5YR","2","2"
"TUPUKNUK","O1",10,0,NA,NA,NA,"5YR","2","2"
"TUXEKAN","Oa",2,0,NA,NA,NA,"N","2","0"
"TUXEKAN","Oe",10,0.5,NA,NA,NA,"2.5YR","2","2"
"TUXEKAN","Oi",11,10,NA,NA,NA,NA,NA,NA
"UGAK","Oi",4,0,NA,NA,NA,"7.5YR","3","2"
"ULLOA","Oe",8,0,NA,NA,NA,"2.5YR","2","2"
"ULLOA","Oi",10,8,NA,NA,NA,NA,NA,NA
"UMIAT","O2",8,0,NA,NA,NA,"5YR","2","1"
"UMIAT","O1",20,8,NA,NA,NA,"5YR","2","2"
"UNAKWIK","Oil",0,8,NA,NA,NA,NA,NA,NA
"VERSTOVIA","Oe",10,0,NA,NA,NA,NA,NA,NA
"VIXEN","Oa",3,0,NA,NA,NA,"5YR","2.5","1"
"VIXEN","Oi",8,3,NA,NA,NA,NA,NA,NA
"WADLEIGH","Oe",10,0,NA,NA,NA,"5YR","2.5","1"
"WADLEIGH","Oi",13,10,NA,NA,NA,NA,NA,NA
"WASILLA","Oe",10,0,NA,NA,NA,"10YR","2","2"
"WATERFALL","Oi",5,0,NA,NA,NA,NA,NA,NA
"YAKOBI","Oa",13,0,NA,NA,NA,"5YR","2.5","1"
"YAKOBI","Oi",18,13,NA,NA,NA,NA,NA,NA
"YENSUS","Oe",3,0,NA,NA,NA,"10YR","2","2"
"YOHN","Oi",8,0,NA,NA,NA,"5YR","3","2"
"YUKON","O1",20,0,NA,NA,NA,"5YR","2","1"
